Datetime,Open,High,Low,Close,Volume
2025-11-17 14:00:00,1459.69,1459.94,1458.08,1459.77,0
2025-11-17 15:00:00,1459.65,1460.59,1456.28,1457.4,0
2025-11-17 16:00:00,1456.58,1459.35,1456.28,1459.33,0
2025-11-17 17:00:00,1459.33,1461.25,1458.9,1459.68,0
2025-11-17 18:00:00,1459.53,1461.21,1459.51,1460.87,0
2025-11-17 19:00:00,1460.82,1462.15,1459.78,1462.15,0
2025-11-17 20:00:00,1462.15,1462.87,1459.88,1461.6,0
2025-11-17 21:00:00,1461.58,1461.86,1459.72,1460.53,0
2025-11-17 22:00:00,1460.52,1462.2,1460.41,1461.49,0
2025-11-17 23:00:00,1461.49,1462.33,1460.16,1460.4,0
2025-11-18 00:00:00,1460.42,1461.99,1460.15,1460.23,0
2025-11-18 01:00:00,1460.18,1461.05,1459.64,1459.68,0
2025-11-18 02:00:00,1459.69,1460.91,1459.56,1460.9,0
2025-11-18 03:00:00,1460.89,1461.33,1460.6,1460.74,0
2025-11-18 04:00:00,1460.73,1462.68,1460.71,1462.6,0
2025-11-18 05:00:00,1462.62,1462.81,1461.86,1461.9,0
2025-11-18 06:00:00,1461.82,1462.19,1461.12,1462.11,0
2025-11-18 07:00:00,1462.17,1462.74,1459.83,1462.74,0
2025-11-18 09:00:00,1462.66,1465.78,1462.35,1464.98,0
2025-11-18 10:00:00,1465.28,1467.26,1464.68,1466.2,0
2025-11-18 11:00:00,1466.28,1467.22,1464.78,1465.0,0
2025-11-18 12:00:00,1464.88,1465.96,1464.58,1465.65,0
2025-11-18 13:00:00,1465.58,1467.19,1464.78,1465.28,0
2025-11-18 14:00:00,1465.18,1465.65,1461.48,1463.41,0
2025-11-18 15:00:00,1463.28,1466.68,1463.08,1466.45,0
2025-11-18 16:00:00,1466.53,1467.11,1465.39,1465.77,0
2025-11-18 17:00:00,1465.9,1466.02,1464.02,1465.53,0
2025-11-18 18:00:00,1465.52,1466.63,1465.22,1465.59,0
2025-11-18 19:00:00,1465.59,1466.55,1464.27,1464.76,0
2025-11-18 20:00:00,1464.92,1465.29,1463.32,1463.39,0
2025-11-18 21:00:00,1463.33,1464.89,1462.63,1463.7,0
2025-11-18 22:00:00,1463.71,1463.94,1459.75,1460.51,0
2025-11-18 23:00:00,1460.53,1461.95,1460.07,1460.93,0
2025-11-19 00:00:00,1460.97,1463.56,1460.04,1462.22,0
2025-11-19 01:00:00,1462.25,1462.67,1460.61,1461.36,0
2025-11-19 02:00:00,1461.28,1462.61,1460.91,1460.91,0
2025-11-19 03:00:00,1460.99,1461.06,1459.64,1460.01,0
2025-11-19 04:00:00,1459.97,1459.98,1457.64,1458.88,0
2025-11-19 05:00:00,1458.87,1459.73,1458.82,1459.36,0
2025-11-19 06:00:00,1459.77,1460.18,1458.99,1459.28,0
2025-11-19 07:00:00,1459.27,1459.27,1456.95,1457.52,0
2025-11-19 09:00:00,1457.53,1464.78,1457.53,1464.68,0
2025-11-19 10:00:00,1464.48,1465.78,1463.28,1465.08,0
2025-11-19 11:00:00,1464.98,1466.58,1463.58,1466.48,0
2025-11-19 12:00:00,1466.58,1467.09,1466.07,1466.66,0
2025-11-19 13:00:00,1466.64,1467.4,1466.58,1467.4,0
2025-11-19 14:00:00,1466.1,1466.1,1465.9,1465.9,0
2025-11-19 15:00:00,1464.3,1465.0,1464.3,1464.7,0
2025-11-19 16:00:00,1465.3,1465.3,1465.3,1465.3,0
2025-11-19 17:00:00,1464.9,1465.4,1464.9,1465.4,0
2025-11-19 18:00:00,1466.0,1467.2,1466.0,1467.2,0
2025-11-19 19:00:00,1468.4,1468.4,1468.4,1468.4,0
2025-11-19 22:00:00,1464.88,1466.89,1464.78,1466.33,0
2025-11-19 23:00:00,1466.32,1467.21,1465.74,1466.18,0
2025-11-20 00:00:00,1466.18,1468.45,1465.12,1467.82,0
2025-11-20 01:00:00,1467.57,1468.13,1466.78,1467.67,0
2025-11-20 02:00:00,1467.67,1469.94,1467.59,1468.56,0
2025-11-20 03:00:00,1468.5,1468.5,1466.98,1467.65,0
2025-11-20 04:00:00,1467.67,1468.52,1467.63,1468.38,0
2025-11-20 05:00:00,1468.39,1468.39,1467.42,1467.62,0
2025-11-20 06:00:00,1467.62,1468.04,1467.61,1467.97,0
2025-11-20 07:00:00,1467.05,1467.05,1467.05,1467.05,0
2025-11-20 08:00:00,1467.05,1467.05,1467.05,1467.05,0
2025-11-20 09:00:00,1467.14,1467.51,1465.38,1467.16,0
